bedrijf,functie,plaats,datum,zoekterm,al_in_pool,vacature_url,bedrijf_linkedin,vacature_id
Workspace 365,Senior Customer Success Manager,Nijkerk,2026-08-27,customer happiness,nee,https://nl.linkedin.com/jobs/view/senior-customer-success-manager-at-workspace-365-4459690374,https://nl.linkedin.com/company/workspace-365,4459690374
WP Masters,SEO Specialist (junior),Amsterdam,2026-08-05,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/seo-specialist-junior-at-wp-masters-4448906732,https://nl.linkedin.com/company/wp-masters,4448906732
WP SEO AI,Wordpress Developer (German/Dutch Speaking),Amsterdam,2026-08-31,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/wordpress-developer-german-dutch-speaking-at-wp-seo-ai-4461201969,https://nl.linkedin.com/company/seoai,4461201969
You Sure,Customer Support Medewerker,Hoofddorp,2026-06-22,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-support-medewerker-at-you-sure-4430584617,https://nl.linkedin.com/company/you-sure,4430584617
You Sure,Customer Support Medewerker,Hoofddorp,2026-09-20,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-support-medewerker-at-you-sure-4372512433,https://nl.linkedin.com/company/you-sure,4372512433
Youvia,Website &amp; Service Specialist,Amsterdam,2026-07-17,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/website-service-specialist-at-youvia-4451630881,https://nl.linkedin.com/company/youvia,4451630881
Yusen Logistics,Customer Service Employee,Moerdijk,2026-09-18,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-service-employee-at-yusen-logistics-4412798148,https://jp.linkedin.com/company/yusen-logistics-,4412798148
Zelesta,E-commerce Specialist,Soesterberg,2026-09-21,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-at-zelesta-4469874193,https://nl.linkedin.com/company/zelesta,4469874193
Zimmer Biomet,Customer Experience - Local Strategic Partner,Breda,2026-09-10,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-experience-local-strategic-partner-at-zimmer-biomet-4454995782,https://www.linkedin.com/company/zimmerbiomet,4454995782
ZINN (Zorgorganisatie in Noord Nederland),Medewerker Servicedesk ICT,Haren,2026-09-04,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-servicedesk-ict-at-zinn-zorgorganisatie-in-noord-nederland-4461947640,https://nl.linkedin.com/company/zinn-zorgorganisatie-in-noord-nederland-,4461947640
Zitmaxx Wonen,Product Content Specialist,Ter Aar,2026-08-11,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/product-content-specialist-at-zitmaxx-wonen-4452686271,https://nl.linkedin.com/company/zitmaxx-wonen,4452686271
Zitmaxx Wonen,Medewerker Productcontent en Prijsbeheer,Ter Aar,2026-08-20,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-productcontent-en-prijsbeheer-at-zitmaxx-wonen-4457013131,https://nl.linkedin.com/company/zitmaxx-wonen,4457013131
Zonneplan,Junior Service Specialist,Zwolle,2026-09-03,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/junior-service-specialist-at-zonneplan-4443190588,https://nl.linkedin.com/company/zonneplan,4443190588
Zonneplan,Customer Support Specialist,Zwolle,2026-09-15,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-zonneplan-4324809529,https://nl.linkedin.com/company/zonneplan,4324809529
Zorg en Zekerheid,Senior (Lead) Front-end Developer,Leiden,2026-08-31,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/senior-lead-front-end-developer-at-zorg-en-zekerheid-4460030095,https://nl.linkedin.com/company/zorg-en-zekerheid,4460030095
Zorg+Welzijn,Huiskamer medewerker | PG,Hilversum,2026-07-24,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/huiskamer-medewerker-pg-at-zorg%2Bwelzijn-4444975815,https://nl.linkedin.com/company/platform-welzijn,4444975815
ZwolleDoet!,Webredacteur voor IVN Zwolle,Zwolle,2026-09-13,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/webredacteur-voor-ivn-zwolle-at-zwolledoet%21-4466765993,https://nl.linkedin.com/company/zwolledoet,4466765993
