bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
CIMSOLUTIONS,cimsolutions.nl,geraden en bevestigd,Front-end Developer,2026-09-22,Utrecht Area,1,nee,https://nl.linkedin.com/jobs/view/front-end-developer-at-cimsolutions-4468540428,webcare medewerker
Cleve & Zonen,cleve.nl,geraden en bevestigd,Customer Service Medewerker,2026-08-21,Rotterdam,3,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-cleve-zonen-4457524926,klantenservice medewerker
Cleverbase,cleverbase.com,geraden en bevestigd,Front Desk Employee,2026-07-23,Den Haag,3,nee,https://nl.linkedin.com/jobs/view/front-desk-employee-at-cleverbase-4444435854,webcare medewerker
Cloudpillo,cloudpillo.com,geraden en bevestigd,Klantenservice Medewerker - Duits / Engels,2026-09-14,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-duits-engels-at-cloudpillo-4446056309,klantenservice medewerker
ClubCollect,clubcollect.com,geraden en bevestigd,Customer Support Representative,2025-10-26,Assen,1,nee,https://nl.linkedin.com/jobs/view/customer-support-representative-at-clubcollect-4317637159,klantenservice medewerker
Colosseum Dental Benelux,colosseumdental.nl,geraden en bevestigd,Baliemedewerker,2026-02-24,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/baliemedewerker-at-colosseum-dental-benelux-4376438027,webcare medewerker
Commaxx Group,commaxxgroup.com,geraden en bevestigd,ONLINE MARKETEER (WEBSHOP SPECIALIST) - COMMAXX KERKRADE,2026-08-05,Kerkrade,3,nee,https://nl.linkedin.com/jobs/view/online-marketeer-webshop-specialist-commaxx-kerkrade-at-commaxx-group-4449483048,webcare medewerker
CompuGroup Medical SE & Co. KGaA,cgm.com,geraden en bevestigd,L1 Support Professional,2026-09-02,Echt,1,nee,https://nl.linkedin.com/jobs/view/l1-support-professional-at-compugroup-medical-se-co-kgaa-4415662858,webcare medewerker
Concentrix,concentrix.com,geraden en bevestigd,Klantenservicemedewerker BMW Customer Service - Rijswijk,2026-09-07,Rijswijk,2,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-bmw-customer-service-rijswijk-at-concentrix-4462215965,klantenservice medewerker
CowManager,cowmanager.nl,geraden en bevestigd,Full stack-ontwikkelaar,2026-09-18,Harmelen,1,nee,https://nl.linkedin.com/jobs/view/full-stack-ontwikkelaar-at-cowmanager-4467829869,webcare medewerker
Cqure,cqure.nl,geraden en bevestigd,Junior SOC Analist,2026-09-18,"Flevoland, Nederland",1,nee,https://nl.linkedin.com/jobs/view/junior-soc-analist-at-cqure-4466689593,webcare medewerker
Currentt,currentt.nl,geraden en bevestigd,Technical Support &amp; Customer Success Manager,2026-07-20,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/technical-support-customer-success-manager-at-currentt-4442781365,customer happiness
CWS Hygiene Nederland,cws.com,geraden en bevestigd,Medewerker customer care | 32-40 uur,2026-08-28,Den Bosch,2,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-care-32-40-uur-at-cws-hygiene-nederland-4460301689,klantenservice medewerker
CycleSoftware,cyclesoftware.nl,geraden en bevestigd,Servicemedewerker,2026-07-29,Nistelrode,1,nee,https://nl.linkedin.com/jobs/view/servicemedewerker-at-cyclesoftware-4446816034,support medewerker webshop
D2-PC,d2-pc.nl,geraden en bevestigd,Servicedesk medewerker,2026-07-21,Utrecht Area,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-at-d2-pc-4443524720,support medewerker webshop
DataSnipper,datasnipper.com,geraden en bevestigd,Strategic Customer Success Manager,2026-09-16,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/strategic-customer-success-manager-at-datasnipper-4467963733,customer happiness
de Bijenkorf,de-bijenkorf.nl,geraden en bevestigd,Senior Medewerker Klantenservice,2026-09-21,Amsterdam,4,nee,https://nl.linkedin.com/jobs/view/senior-medewerker-klantenservice-at-de-bijenkorf-4433891476,klantenservice medewerker
De Haan IT,dehaanit.com,geraden en bevestigd,Servicedeskmedewerker / Klantenservice medewerker ICT / Application Service Engineer,2026-09-14,Almere,1,nee,https://nl.linkedin.com/jobs/view/servicedeskmedewerker-klantenservice-medewerker-ict-application-service-engineer-at-de-haan-it-4467062948,webcare medewerker
De Heer Medicom,deheermedicom.nl,geraden en bevestigd,Helpdeskmedewerker,2026-09-10,"Limburg, Nederland",1,nee,https://nl.linkedin.com/jobs/view/helpdeskmedewerker-at-de-heer-medicom-4464505220,webcare medewerker
De Klok Banden B.V.,deklokbanden.com,geraden en bevestigd,Meewerkend Voorman E-commerce,2026-09-14,Oud-Beijerland,1,nee,https://nl.linkedin.com/jobs/view/meewerkend-voorman-e-commerce-at-de-klok-banden-b-v-4467059030,e-commerce medewerker
De L'Europe,deleurope.com,geraden en bevestigd,Guest Service Agent,2026-09-09,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/guest-service-agent-at-de-l-europe-amsterdam-4455732694,customer service
De Wit B.V.,dewit.nl,geraden en bevestigd,Administratief commercieel medewerker,2026-09-22,Helmond,1,nee,https://nl.linkedin.com/jobs/view/administratief-commercieel-medewerker-at-de-wit-b-v-4468707838,orderverwerking medewerker
Decent,decent.nl,geraden en bevestigd,Marketplace Manager,2026-09-06,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/marketplace-manager-at-decent-4462673285,e-commerce medewerker
DeJong Cheese - Alphenaer,dejongcheese.nl,geraden en bevestigd,E-commerce Medewerker (24 uur),2026-07-28,Alphen,2,nee,https://nl.linkedin.com/jobs/view/e-commerce-medewerker-24-uur-at-dejong-cheese-alphenaer-4446156538,webcare medewerker
Del Monte Corporation,delmontecorporation.com,geraden en bevestigd,Back office medewerker,2026-08-11,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/back-office-medewerker-at-del-monte-corporation-4429641720,orderverwerking medewerker
