bedrijf,functie,plaats,datum,zoekterm,al_in_pool,vacature_url,bedrijf_linkedin,vacature_id
Cleve &amp; Zonen,Customer Service Medewerker,Rotterdam,2026-08-21,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-cleve-zonen-4457524926,https://nl.linkedin.com/company/cleve-zonen-b-v-,4457524926
Cleverbase,Front Desk Medewerker,Den Haag,2026-06-09,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/front-desk-medewerker-at-cleverbase-4426335235,https://nl.linkedin.com/company/cleverbase,4426335235
Cleverbase,Front Desk Employee,Den Haag,2026-07-23,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/front-desk-employee-at-cleverbase-4444435854,https://nl.linkedin.com/company/cleverbase,4444435854
Cleverbase,Administratief Medewerker,Den Haag,2026-07-23,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/administratief-medewerker-at-cleverbase-4444446179,https://nl.linkedin.com/company/cleverbase,4444446179
Cloudpillo,Klantenservice Medewerker - Duits / Engels,'s-Hertogenbosch,2026-09-14,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-duits-engels-at-cloudpillo-4446056309,https://www.linkedin.com/company/cloudpillo,4446056309
ClubCollect,Customer Support Representative,Assen,2025-10-26,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-support-representative-at-clubcollect-4317637159,https://nl.linkedin.com/company/clubcollect,4317637159
Cold Care Group,Office &amp; Marketing Medewerker,Apeldoorn,2026-08-13,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/office-marketing-medewerker-at-cold-care-group-4454012970,https://nl.linkedin.com/company/coldcaregroup.nl,4454012970
Colliers,Customer Support Specialist,Nieuwegein,2026-09-08,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-colliers-4464492902,https://ca.linkedin.com/company/colliers,4464492902
Colosseum Dental Benelux,Baliemedewerker,Den Haag,2026-02-24,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/baliemedewerker-at-colosseum-dental-benelux-4376438027,https://nl.linkedin.com/company/colosseum-dental-benelux,4376438027
Commaxx Group,ONLINE MARKETEER (WEBSHOP SPECIALIST) - COMMAXX KERKRADE,Kerkrade,2026-08-05,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/online-marketeer-webshop-specialist-commaxx-kerkrade-at-commaxx-group-4449483048,https://nl.linkedin.com/company/commaxxgroup,4449483048
CompuGroup Medical SE &amp; Co. KGaA,L1 Support Professional,Echt,2026-09-02,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/l1-support-professional-at-compugroup-medical-se-co-kgaa-4415662858,https://de.linkedin.com/company/compugroup-medical,4415662858
Concentrix,Klantenservicemedewerker BMW Customer Service - Rijswijk,Rijswijk,2026-09-07,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-bmw-customer-service-rijswijk-at-concentrix-4462215965,https://www.linkedin.com/company/concentrix,4462215965
Coolblue,Klantenservice Medewerker,Rotterdam,2026-06-04,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-coolblue-4423516106,https://nl.linkedin.com/company/coolblue,4423516106
Coolblue,Product Journey Manager,Rotterdam,2026-06-04,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/product-journey-manager-at-coolblue-4423506689,https://nl.linkedin.com/company/coolblue,4423506689
Coolblue,Customer Service Representative German Speaking,Rotterdam,2026-07-03,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-german-speaking-at-coolblue-4436465660,https://nl.linkedin.com/company/coolblue,4436465660
Coolblue,Klantenservice Medewerker Duitstalig,Rotterdam,2026-07-03,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-duitstalig-at-coolblue-4436467569,https://nl.linkedin.com/company/coolblue,4436467569
Coolblue,Product Redacteur,Rotterdam,2026-08-12,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/product-redacteur-at-coolblue-4452343357,https://nl.linkedin.com/company/coolblue,4452343357
Coolblue,Online Marketeer Coolblue Zakelijk,Rotterdam,2026-09-05,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/online-marketeer-coolblue-zakelijk-at-coolblue-4436724998,https://nl.linkedin.com/company/coolblue,4436724998
Coolblue,Front-End React/Next.js Developer,Rotterdam,2026-09-22,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/front-end-react-next-js-developer-at-coolblue-4470235678,https://nl.linkedin.com/company/coolblue,4470235678
Coolblue,Senior Front-end Developer,Rotterdam,2026-09-22,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/senior-front-end-developer-at-coolblue-4470226967,https://nl.linkedin.com/company/coolblue,4470226967
Coolblue,Front-End React/Next.js Developer,Rotterdam,2026-09-22,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/front-end-react-next-js-developer-at-coolblue-4470242471,https://nl.linkedin.com/company/coolblue,4470242471
